;JAN;FÉV;MAR;AVR;MAI;JUN;JUI;AOÛ;SEP;OCT;NOV;DÉC;Total
2021;479;368,4;375,2;344,1;231,9;21,4;0;0;0;0;0;0;1820
2020;419,9;324,5;358,1;200,8;180,5;89,4;31,6;20,4;82,9;212,8;329,2;419,3;2669
2019;499,9;366,4;327,7;275,6;229,8;60,3;24,2;27,9;101,7;194,7;370;406,3;2884,3
2018;376;506,1;407,5;196,3;119,6;44,7;1,5;34,2;103,9;204,3;356;417,5;2767,4
2017;581,9;357;305;318,5;144;41,8;30,8;43,8;143;199;383,8;434,7;2983,1
2016;454,5;392,1;412,7;299,9;174,4;70,9;32,6;37,2;75,3;273,4;378,1;496,5;3097,4
2015;483,3;437,3;383,8;271,2;194,7;72,8;37,4;29,4;151,3;263;275,9;327,3;2927,3
2014;414,4;361,5;350,4;236,9;182,5;82,8;30,9;79,5;90,5;175,6;306,5;447,7;2759
2013;518,1;493,7;483,1;289,6;237,2;106,2;16,1;50,6;123,4;184,6;386,8;450,4;3339,6
2012;0;0;0;0;96,9;100,6;61,6;28,1;144,7;235,3;380,5;420,7;1468,3
2011;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;0;0;0;0;0;0;0;0;0;0;0;0;0
2009;0;0;0;0;0;0;0;0;0;0;0;0;0
